toCheck,checked,checkedOld,checkedAlt,explanation,wordType,originalWordGender,originalWordNumb,wordID
absolue,absolu‧e,absolu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,150
absolues,absolu‧e‧s,absolu‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,151
absolus,absolu‧e‧s,absolu‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,152
absolvant,,absolvant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,153
absorbables,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,154
absorbant,,absorbant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,155
absorbante,,absorbant‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,156
absorbantes,,absorbant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,157
absorbants,,absorbant‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,158
absorbé,absorbé‧e,absorbé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,159
absorbée,absorbé‧e,absorbé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,160
absorbées,absorbé‧e‧s,absorbé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,161
absorbés,absorbé‧e‧s,absorbé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,162
absous,absou‧e‧s,absou‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,163
absoute,,absout‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,164
abstenue,abstenu‧e,abstenu‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,165
abstinent,,abstinent‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,166
abstinente,,abstinent‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,167
abstrait,,abstrait‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,168
abstraite,,abstrait‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,169
abstraites,,abstrait‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,170
abstraits,,abstrait‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,171
abstrus,abstru‧e‧s,abstru‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,172
abstruse,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,173
abstruses,,,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,174
abusé,abusé‧e,abusé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,175
abusée,abusé‧e,abusé‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,176
abusées,abusé‧e‧s,abusé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,177
abusés,abusé‧e‧s,abusé‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,178
abusif,abusif‧ve,abusif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,179
abusifs,abusif‧ve‧s,abusif‧ve‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,180
abusive,abusif‧ve,abusif‧ve,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,181
abusives,abusif‧ve‧s,abusif‧ve‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,182
abyssal,,abyssal‧le,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,183
abyssale,,abyssale,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,184
